CpGmarker,chr:coord_hg19,RNA_seq_ENCFF754LBN,RNA_seq_ENCFF398HDS
cg13676215,chr7:17337976,0.028942550370007154,
cg13741326,chr7:86975244,,0.058170500118285416
cg13870866,chr7:35293130,0.01309669609140374,0.005549999885261059
cg13916931,chr7:44162801,0.029673529317712083,
cg13917504,chr7:130131258,,
cg13931228,chr7:24612418,0.013639642749671135,
cg13975369,chr7:130080553,,
cg13980308,chr7:140373235,0.036897395923217745,0.3555339640215448
cg13983870,chr7:120497998,,
cg14009688,chr7:134464242,,0.015725798028065487
cg14088161,chr7:100255043,,
cg14093368,chr7:72936880,0.008047941193331545,0.010481686404376639
cg14116596,chr7:139528673,0.005165248518830258,0.005549999885261059
cg14120784,chr7:73867457,0.005549999885261059,0.02111535429162538
cg14153740,chr7:141957702,,
cg14171882,chr7:48019441,0.0027699999045580626,
cg14175438,chr7:121036729,0.011090000160038471,0.008320000022649765
cg14191360,chr7:116311773,0.03234092499827966,
cg14221171,chr7:97361759,0.0061315468754310634,
cg14260643,chr7:99277394,,
cg14265670,chr7:48128300,0.07800827901624607,0.022588923335004236
cg14269477,chr7:142630597,,
cg14298726,chr7:89976216,0.02728003929350673,0.11080120876666055
cg14334099,chr7:77166091,0.08836596741250927,
cg14377593,chr7:93520183,0.008320000022649765,
cg14401837,chr7:34697493,,
cg14427173,chr7:105172403,0.020244146064983877,0.03826486290910948
cg14450506,chr7:44614519,0.07569092245507716,0.04695680762578425
cg14451276,chr7:36764019,1.603885186703741,0.005116700972478415
cg14520511,chr7:91875046,0.1173448127977773,0.01060190465345624
cg14534464,chr7:26191633,0.005549999885261059,0.0027699999045580626
cg14534967,chr7:73153139,0.09475728168200033,
cg14640481,chr7:97910728,0.005549999885261059,
cg14646244,chr7:107300287,,
cg14651992,chr7:86974674,0.171526071774149,
cg14702264,chr7:66385829,0.008320000022649765,
cg14706178,chr7:133812217,,0.02456461324210179
cg14724613,chr7:86273429,,
cg14761227,chr7:130021088,0.011090000160038471,
cg14795305,chr7:150974453,0.005549999885261059,
cg14796007,chr7:99697978,0.0691409917735536,
cg14853515,chr7:32530038,0.14734967850415548,0.0077996874060772825
cg14898779,chr7:23749607,,
cg14975238,chr7:97841591,0.004090062402246986,
cg14984920,chr7:25164393,0.5400364586056914,0.005549999885261059
cg15001372,chr7:44229892,,
cg15002187,chr7:140098492,0.047264786731674634,
cg15028436,chr7:37888078,0.006718086901768718,0.007890172415123931
cg15042385,chr7:43966260,0.04867559613152289,0.0613387395136469
cg15087147,chr7:127672169,0.045530780976479675,0.020235585945860442
cg15133363,chr7:128096265,,0.02779955067497648
cg15146720,chr7:151722621,0.03730711917327755,0.0781609651562488
cg15154229,chr7:130020011,,
cg15164103,chr7:130126871,,0.008320000022649765
cg15164958,chr7:54609587,,
cg15240064,chr7:6746837,,0.025712717405620974
cg15262984,chr7:43965648,0.11437087337906818,
cg15350036,chr7:86973677,,
cg15359413,chr7:50517931,0.04222547044111124,0.004859999908068407
cg15396310,chr7:72971398,0.16289817920869723,
cg15414833,chr7:87257767,,0.004286363530396061
cg15423613,chr7:66093349,0.10561576049003815,
cg15447479,chr7:128828765,0.005549999885261059,
cg15489301,chr7:134213038,,
cg15544721,chr7:94536691,,0.01664000004529953
cg15547534,chr7:100034410,,0.02086431411399211
cg15560337,chr7:123484898,,
cg15652212,chr7:142981776,,
cg15652797,chr7:86974991,0.11765233986079693,0.050521956473265
cg15703690,chr7:22766992,0.0027699999045580626,0.4150289037634161
cg15749858,chr7:20256996,0.06709518645915605,0.032193217175708444
cg15760840,chr7:27225222,,
cg15774495,chr7:50861549,,0.005549999885261059
cg15781316,chr7:96339267,0.4894653249160206,0.009774349975632503
cg15798153,chr7:90338861,,0.1124203997545706
cg15802323,chr7:127228142,0.02955121360786496,
cg15815016,chr7:30518667,,0.011133678833701739
cg15835825,chr7:154862030,,
cg15905634,chr7:143140053,,0.016148563952615054
cg15914863,chr7:1022675,0.009993614370833678,
cg16075384,chr7:66386859,0.024374533106883367,0.158852718714764
cg16127845,chr7:1126423,0.008457966143591593,0.005549999885261059
cg16218254,chr7:111202755,0.005549999885261059,
cg16241648,chr7:98923114,0.023832155164578615,
cg16253412,chr7:65670776,,0.017101174551342482
cg16254309,chr7:145814152,,
cg16284168,chr7:99698217,0.02523618433949656,
cg16336120,chr7:45197318,,0.005285237982336964
cg16391151,chr7:30518197,0.06496632872531038,0.013869999907910824
cg16415646,chr7:41743001,0.03610082285622706,0.012967612219056976
cg16462075,chr7:100544220,,
cg16488098,chr7:131240440,0.0027699999045580626,0.008282054815288277
cg16492735,chr7:94286208,,0.014711875045854274
cg16584911,chr7:128864557,,0.008320000022649765
cg16677885,chr7:150778122,0.03579143230282489,0.010952893796380295
cg16688376,chr7:91570673,,0.06172231926194896
cg16721202,chr7:21467390,0.011458514835347388,0.009602611283398612
cg16722118,chr7:143599982,,
cg16752583,chr7:142583731,,
cg16837769,chr7:10979899,1.0025882860804853,0.0027699999045580626
cg16872560,chr7:94536986,,
cg16880396,chr7:101928206,0.017734632169627874,0.01024309959953369
cg16924616,chr7:96653617,,0.0027699999045580626
cg17054360,chr7:91510326,,0.008320000022649765
cg17095753,chr7:140623924,0.25926104704489433,0.017462772290720283
cg17140815,chr7:128502651,0.00683958184636013,
cg17177336,chr7:139026384,0.010016019710928054,0.05041904355704938
cg17194182,chr7:100318154,,
cg17274742,chr7:23286539,0.012644293227071024,0.01780134737029249
cg17279839,chr7:150038598,,
cg17347253,chr7:130130288,,
cg17408647,chr7:43769049,0.2962128853121174,0.008043183555676197
cg17469978,chr7:116164704,0.013869999907910824,
cg17518962,chr7:99766552,0.01498692323310444,0.002831323433544158
cg17530977,chr7:42275872,0.008306287150682495,
cg17536848,chr7:156686555,,0.029093665674681825
cg17560179,chr7:141489290,,0.005549999885261059
cg17561435,chr7:33944927,,
cg17628717,chr7:43351208,,
cg17731261,chr7:100493811,,
cg17754680,chr7:44581831,0.01940999925136566,
cg17784922,chr7:142659425,0.00618621613515692,
cg17786776,chr7:32996145,,
cg17864730,chr7:20370899,0.13717182017363458,0.4314328443231131
cg17885062,chr7:108096417,0.027906766915384375,
cg17923358,chr7:103629618,,
cg17927917,chr7:155089006,0.4481616469095473,0.04224822920528786
cg17950095,chr7:27224700,,
cg18015677,chr7:138818325,0.02783032135029725,0.011090000160038471
cg18117847,chr7:50443901,,0.20514588518778878
cg18139769,chr7:94286955,,0.0027699999045580626
cg18152517,chr7:134915756,,
cg18219226,chr7:65447622,,0.0027699999045580626
cg18294158,chr7:103849187,,0.02346240391280702
cg18321354,chr7:3084516,,
cg18329349,chr7:116164847,0.013869999907910824,
cg18397523,chr7:27282351,,
cg18412613,chr7:44240514,,0.5236973762264515
cg18428217,chr7:6629959,,0.4061904989201529
cg18438300,chr7:72847175,0.005549999885261059,
cg18463686,chr7:141646690,0.04797416908757004,0.23551967596992887
cg18464137,chr7:83278504,,
cg18491230,chr7:36429601,,0.029002962835538375
cg18508525,chr7:80230062,,
cg18511007,chr7:94023822,,
cg18589624,chr7:30791294,,
cg18601426,chr7:158381220,,
cg18607470,chr7:36407067,,0.012439861161530846
cg18655915,chr7:87109799,,
cg18670235,chr7:100862016,,0.1421239396413217
cg18691434,chr7:99775425,0.011668375771265798,
cg18798750,chr7:138720457,0.031388185673137815,0.026709865346195436
cg18873386,chr7:96651915,0.005329801866987554,
cg18896687,chr7:1571125,0.013480272204266721,0.16059513709640266
cg18967846,chr7:90032535,0.0062931982059921095,0.014046451557547815
cg18971054,chr7:141695759,,
cg18997129,chr7:143105850,0.04577519434395355,0.008654334726283734
cg19023700,chr7:131012349,0.007852711777944686,0.014189545391732223
cg19062098,chr7:26239440,1.2321406987837127,0.0092448889001928
cg19107595,chr7:94285642,0.008429999893101362,0.09002136389495104
cg19166347,chr7:37955598,,
cg19370284,chr7:99647006,0.02207160241713952,0.0027699999045580626
cg19384697,chr7:76139922,,0.01428864551748361
cg19426277,chr7:1097382,0.012665979328958951,0.052011919642178495
cg19469297,chr7:45151440,0.13144648119686517,0.038006744219967255
cg19548738,chr7:143598702,0.04121862824523167,
cg19632026,chr7:132766999,0.165479589011265,
cg19714749,chr7:144533092,0.12769425548827737,0.006442348922809099
cg19759064,chr7:56160687,0.09552603498324194,0.023317771881635967
cg19770955,chr7:107203448,0.0900339900778416,0.005549999885261059
cg19778698,chr7:1570060,0.020761287780386387,
cg19781251,chr7:94294278,,0.01867531961761415
cg19784477,chr7:93519401,0.008320000022649765,
cg19815904,chr7:80548307,0.2563567091977953,0.01695491475666958
cg19831077,chr7:151107924,0.01972387040094022,0.04347515168759709
cg19843429,chr7:25019751,0.1547937036965431,0.014827205840607776
cg19861697,chr7:86782611,0.007908901547180545,0.21098947578906418
cg19873785,chr7:100861253,0.0027699999045580626,0.016834463731402027
cg20002248,chr7:96747288,,0.045813663656754065
cg20019546,chr7:37955824,,
cg20080624,chr7:96651111,,
cg20259398,chr7:21985277,0.15117878680111918,0.019809533320367338
cg20377955,chr7:20827825,,
cg20420433,chr7:156804561,,
cg20451802,chr7:132937811,0.008320000022649765,1.1491136293910558
cg20456055,chr7:150725256,0.018432862488864523,
cg20498685,chr7:19156086,,
cg20583316,chr7:100770476,,0.0342323113863747
cg20633959,chr7:129250987,0.03825002498785382,
cg20637800,chr7:97911512,0.0027699999045580626,0.17301583526066117
cg20647137,chr7:137761289,,
cg20692569,chr7:72848481,,0.0027699999045580626
cg20720686,chr7:75582881,,0.002795622024195878
cg20807701,chr7:108209641,0.3065017442825132,0.014640382765868648
cg20891917,chr7:112064031,,
cg20899053,chr7:156803197,,0.007801616170462409
cg20991801,chr7:39990729,0.0065943153151909965,1.3304676823782504
cg21003606,chr7:71877237,,
cg21035142,chr7:151136940,,
cg21041127,chr7:16922421,,
cg21048501,chr7:43909515,0.03865277227826672,0.21881815260671023
cg21051046,chr7:155248393,,
cg21053748,chr7:10979772,1.3367246818681588,0.0027699999045580626
cg21060429,chr7:2280360,0.011243252996748021,
cg21070087,chr7:43351538,,
cg21096502,chr7:56174374,0.04341448283882748,0.02258941639269138
cg21120786,chr7:26904188,0.0866479715784933,0.009968171413721782
cg21123509,chr7:44163430,,
cg21129531,chr7:127670703,0.018471695590727123,0.047627006864124105
cg21134096,chr7:151217883,,0.008743495104719905
cg21201572,chr7:16844606,,
cg21212956,chr7:6617294,,0.07813997486573725
cg21230435,chr7:128416023,,0.022002074342379545
cg21250978,chr7:106684541,,
cg21262854,chr7:92861612,0.05210442046242717,0.2242402439769052
cg21265783,chr7:73704324,,0.003081775603328492
cg21309049,chr7:43623222,0.07118361585418186,2.2604705689851183
cg21341271,chr7:39605683,0.0074481267319125005,
cg21399198,chr7:102715131,0.03211714259334027,
cg21472642,chr7:29233468,,0.0027699999045580626
cg21516287,chr7:150020855,0.021306685573820556,0.017911630671184797
cg21574752,chr7:130354027,,0.016092876025341627
cg21597649,chr7:12251342,,0.2017642891875229
cg21643191,chr7:20685988,,
cg21694349,chr7:100184161,,0.0027699999045580626
cg21746887,chr7:90893279,,0.011090000160038471
cg21784940,chr7:150067807,,0.2817509240863329
cg21880328,chr7:117514017,,0.008265148534780681
cg21937169,chr7:65541137,0.0027699999045580626,0.11388710666066988
cg21939482,chr7:6388130,0.07085074786273321,
cg21974766,chr7:94138743,0.009691734964245408,0.0027699999045580626
cg22024657,chr7:122839955,,0.008320000022649765
cg22025233,chr7:1022904,,
cg22037919,chr7:45038995,0.029307171960952654,0.0027699999045580626
cg22063653,chr7:134331376,0.09507365969307337,0.016234444485628725
cg22065500,chr7:128695353,0.04962315812314812,0.01631755614478169
cg22066521,chr7:20687223,,
cg22083798,chr7:45961401,0.008320000022649765,
cg22126032,chr7:116166529,,0.014706394064258067
cg22131691,chr7:32110988,,
cg22158923,chr7:100824169,,
cg22171829,chr7:95225520,0.019571317800115208,
cg22185378,chr7:73039812,,
cg22213042,chr7:129906627,,
cg22274662,chr7:149194095,0.030135979822102053,
cg22284975,chr7:40174843,,0.027991981361260486
cg22294577,chr7:107444728,,
cg22298208,chr7:142635611,,
cg22377237,chr7:100271437,0.0038900960308427992,0.02130805622409667
cg22442090,chr7:150434077,0.00658460625348334,0.012497594969087764
cg22476295,chr7:559000,0.053031312453463604,
cg22498251,chr7:19157710,,
cg22511633,chr7:72993507,,0.009565420067669738
cg22552684,chr7:42951784,0.012240506213488458,0.0027699999045580626
cg22627950,chr7:44622302,0.009077532890124099,0.08915640975806184
cg22679120,chr7:2353402,0.027420772817868394,
cg22724153,chr7:123565925,,
cg22799321,chr7:93519621,,
cg22799850,chr7:102714871,,
cg22800631,chr7:98476628,0.02068458805408548,0.042531271636987715
cg22802739,chr7:87505101,0.06982708209544941,
cg22805517,chr7:42951105,0.01600990022597672,
cg22828602,chr7:122338579,,0.008320000022649765
cg22830895,chr7:151137476,,
cg22878324,chr7:44925316,0.005549999885261059,0.07767790816344168
cg22932819,chr7:23285742,,0.005549999885261059
cg22972055,chr7:872293,,0.4465492530876859
cg22983529,chr7:93551132,,0.19469358153841415
cg22995176,chr7:76139470,,0.014688615660326412
cg23066879,chr7:140624057,0.3001398251686905,0.03227695533658253
cg23096644,chr7:94284634,0.012075643045363307,
cg23126915,chr7:152374317,,0.014173621826944507
cg23141855,chr7:93519892,,
cg23175281,chr7:5569860,0.8300304961695041,0.018162029223645678
cg23216015,chr7:31726654,0.01615031084019737,
cg23239396,chr7:93203695,,
cg23242017,chr7:97736138,,0.44381703795424027
cg23261233,chr7:5570489,,0.0027699999045580626
cg23281417,chr7:43622366,0.013434869512591673,
cg23283875,chr7:89874597,,0.013869999907910824
cg23285573,chr7:95064174,0.037547986731777006,
cg23326197,chr7:99382370,,0.023973559550309585
cg23411876,chr7:140396886,,0.025948304058217495
cg23428445,chr7:124405467,,
cg23432345,chr7:27196153,0.008320000022649765,
cg23434459,chr7:107220583,0.008306287150682495,0.04204543509017329
cg23475963,chr7:128379258,0.0052648716821120335,0.2887057429972164
cg23616741,chr7:44105434,0.011937808450686767,0.2394198500864821
cg23640092,chr7:30323845,0.03289049841983806,0.012631684715282105
cg23686014,chr7:93519924,,
cg23700778,chr7:36406715,0.06793378985480993,0.011090000160038471
cg23723933,chr7:91569823,0.01742144822794435,0.014135461313965873
cg23749760,chr7:149471044,,0.009757303681556155
cg23780937,chr7:30544484,0.0684215697304656,0.0027699999045580626
cg23839680,chr7:56118238,0.060449975106094095,0.008376769257040742
cg23859078,chr7:23339092,0.005549999885261059,0.24880822128151867
cg24030425,chr7:92157488,0.05604272019540333,
cg24060938,chr7:129907199,,
cg24068372,chr7:151107261,0.017936741952754316,0.08408057405160475
cg24115040,chr7:96652375,,
cg24123124,chr7:56019838,0.010585267150077883,0.008320000022649765
cg24127989,chr7:128049508,0.08903184563776204,
cg24169822,chr7:27170994,0.016612437854877753,0.02269151024969081
cg24183958,chr7:50860173,0.008725804483501947,
cg24205633,chr7:96746928,0.0027699999045580626,0.08332491279933711
cg24251035,chr7:138721065,0.0027699999045580626,0.018690697381330668
cg24265806,chr7:23053737,0.2634661765312593,
cg24319545,chr7:44887278,0.2599318212924753,0.12538704922174737
cg24426405,chr7:16844852,,
cg24435704,chr7:139763773,,0.013234954455437133
cg24448259,chr7:29186110,0.847466328280355,0.06748035972988284
cg24469977,chr7:132333391,0.008320000022649765,
cg24499411,chr7:47580247,0.007738829264417291,
cg24555656,chr7:99717359,,0.29327498505344435
cg24621354,chr7:115850382,0.0716796507211193,0.004436006964523306
cg24650353,chr7:75368337,0.10605486219836327,
cg24680924,chr7:142552940,0.0057299999675403035,0.09560301891312184
cg24743283,chr7:2884365,0.027661321345633105,0.0027699999045580626
cg24750391,chr7:95026211,,
cg24777710,chr7:127636733,0.008320000022649765,0.027642867555772128
cg24797830,chr7:99686956,,0.06395987161936668
cg24805239,chr7:24797486,0.018604787225101855,0.08254426446490157
cg24849648,chr7:120964019,0.0027699999045580626,
cg24890286,chr7:139317303,0.022286895423831707,
cg24896109,chr7:91764007,0.04601687852180365,0.037769034461319795
cg24956866,chr7:134464129,,0.012144280734815096
cg24980583,chr7:141438448,,0.4181273317619452
cg24995381,chr7:37780156,,0.04621675815619064
cg25007250,chr7:150687712,,0.013869999907910824
cg25028542,chr7:36429120,,
cg25043279,chr7:148287142,,
cg25251635,chr7:100303170,0.005549999885261059,0.0027699999045580626
cg25274750,chr7:139316606,0.045029908526552524,
cg25299676,chr7:116312739,0.010365303587884856,0.06328217289776233
cg25300386,chr7:94023988,,
cg25310567,chr7:151653890,,
cg25426743,chr7:27166103,0.0027699999045580626,0.0027699999045580626
cg25509184,chr7:117119382,,
cg25524350,chr7:94284893,0.013066355921038674,
cg25527547,chr7:100862300,,0.13194386508696693
cg25533774,chr7:16505409,,
cg25612145,chr7:23749639,,
cg25635316,chr7:23637023,0.011090000160038471,0.15679555874317885
cg25664034,chr7:128469891,,
cg25717844,chr7:99765818,0.0152350404071358,
cg25770411,chr7:73946901,,0.0027699999045580626
cg25778479,chr7:16686771,0.005549999885261059,0.14090685838104186
cg25786436,chr7:151573913,0.928951946279949,0.0350460865629324
cg25802871,chr7:2282184,0.0027699999045580626,
cg25909811,chr7:6523253,0.09058122214236462,
cg25915982,chr7:50849415,0.008348854190747565,
cg25990230,chr7:75157345,0.18900186272666736,
cg26023204,chr7:99699378,0.027130216521559853,0.02171582656116848
cg26024206,chr7:148892367,,0.011090000160038471
cg26057752,chr7:44104935,0.014699999891716792,0.445222769146251
cg26069745,chr7:27142200,,0.0027699999045580626
cg26141626,chr7:124406188,,
cg26144265,chr7:16685680,,0.1267683525749466
cg26159905,chr7:150884914,,
cg26163537,chr7:50861592,,0.005549999885261059
cg26172108,chr7:25220162,,0.0027699999045580626
cg26179948,chr7:28220645,0.00431074069260999,0.04405057687660331
cg26180557,chr7:39045789,,
cg26259610,chr7:99005923,0.2874007985701882,0.019773173014034463
cg26312920,chr7:31380390,,
cg26349773,chr7:138483273,,
cg26358246,chr7:77427873,0.046715211576115606,0.014044204176623066
cg26385222,chr7:150497077,,
cg26422832,chr7:140179608,,
cg26449836,chr7:141438150,,0.588509112387617
cg26471020,chr7:100209878,0.017347966608891294,0.03442070907946174
cg26553682,chr7:99214201,0.013869999907910824,0.0076791555465509495
cg26568722,chr7:99699448,0.02432264819770698,0.018728156065481016
cg26616347,chr7:128577752,0.004970122241224262,0.01186819819666378
cg26627486,chr7:2595589,,
cg26628847,chr7:142829304,,
cg26651830,chr7:107221136,,0.1345850121545747
cg26670626,chr7:99613244,0.005549999885261059,0.18372339817677746
cg26682717,chr7:128503126,0.038862965347502255,0.9143870578070828
cg26702875,chr7:130352914,,
cg26738880,chr7:154429032,,
cg26756862,chr7:143012960,,
cg26774312,chr7:116139477,,
cg26777475,chr7:100199952,,
cg26866014,chr7:148287712,,
cg26889928,chr7:138145433,,0.30800214536172194
cg27007358,chr7:21467723,0.00427671745135129,0.09402394016735498
cg27016494,chr7:96651586,0.005549999885261059,
cg27089973,chr7:86781459,0.03699251836133271,0.012230148549333603
cg27094076,chr7:50132541,,
cg27183007,chr7:50132975,,
cg27195917,chr7:130353961,,0.015309504423601893
cg27242945,chr7:116165134,0.013869999907910824,
cg27263448,chr7:127637871,0.022176170008099495,0.008663703718286737
cg27268717,chr7:56032047,0.008320000022649765,0.0027699999045580626
cg27319898,chr7:88389003,,
cg27352136,chr7:100449993,0.04131989875300364,
cg27376817,chr7:75931888,0.0071630587897208685,0.04275964359201643
cg27402949,chr7:92861678,0.006787241316111437,0.1521107432868411
cg27425193,chr7:75931932,0.006679112396131341,0.0465330006632333
cg27447599,chr7:45927940,,
cg27459381,chr7:2472364,,0.09368362394732496
cg27508071,chr7:6629350,,0.02482809363573324
cg27542948,chr7:64453684,0.20552100432362763,
cg27550442,chr7:100860599,0.07977166668956541,
cg27603796,chr7:117512803,,
cg27626102,chr7:89840731,,
cg27626299,chr7:27282431,,
cg27628312,chr7:142552171,0.00978910503003036,0.005536237509118965
cg27641018,chr7:37959755,,
cg27665659,chr7:100797595,,0.06723455549735162
cg00057593,chr8:143916959,,
cg00077877,chr8:131414474,,
cg00090147,chr8:11562367,,
cg00155167,chr8:100025831,,0.17114677624311297
cg00176210,chr8:41654967,0.030312403186140462,0.010130865501616007
cg00177923,chr8:29952655,0.3095651877639894,0.2937563081594774
cg00186701,chr8:98290510,,
cg00265490,chr8:98655845,0.031066060005546067,0.008320000022649765
cg00297600,chr8:35401670,0.0027699999045580626,
cg00311768,chr8:144698857,0.1117408928646687,
cg00319692,chr8:87111119,0.005549999885261059,0.02312206897627691
cg00355802,chr8:29208983,,0.06345194518714771
cg00410898,chr8:23712355,,
cg00420715,chr8:100025364,0.013763229162577773,0.12715785535449567
cg00459975,chr8:28749099,,0.11278673345943044
cg00551244,chr8:125183776,0.005549999885261059,
cg00582628,chr8:54764515,,
cg00659129,chr8:131414614,,
cg00792687,chr8:33370099,0.10733027439889617,
cg00815583,chr8:28348123,,
cg00871453,chr8:124084640,,0.016765287370774252
cg00873037,chr8:11626984,0.012168478141403824,
cg00905170,chr8:67341306,0.009479802920772084,0.1712269085512413
cg00933411,chr8:13373090,,
cg00987379,chr8:28244386,0.0027699999045580626,0.010198944346580512
cg01031400,chr8:23021513,0.18330083670895858,0.005549999885261059
cg01041367,chr8:74888080,0.015109211971906766,
cg01069256,chr8:79577942,0.0027699999045580626,
cg01072821,chr8:10382165,,
cg01086978,chr8:68255088,0.1497445146081751,0.0027699999045580626
cg01092561,chr8:9008681,0.004842576807221541,
cg01124961,chr8:28747453,0.05114030759447278,
cg01136458,chr8:4853275,,
cg01161597,chr8:120844978,1.5889237936657326,0.00816611112612817
cg01214321,chr8:26435429,0.005549999885261059,0.26096546258846115
cg01244871,chr8:87520844,0.2042938728657801,0.022932219291756168
cg01248426,chr8:87111155,0.005549999885261059,0.01967281767023079
cg01281904,chr8:54164757,,
cg01295203,chr8:70984199,,
cg01334437,chr8:55014655,0.04725333331411497,
cg01386493,chr8:37824529,,
cg01402045,chr8:42948717,,0.36056254480711436
cg01405761,chr8:62200689,,
cg01407244,chr8:22961007,,0.015181271816856991
cg01410472,chr8:75896975,,0.0027699999045580626
cg01484156,chr8:102802615,0.04848456302102646,
cg01546563,chr8:11567189,,
cg01587454,chr8:88886051,0.005549999885261059,
cg01610488,chr8:72987870,,
cg01692572,chr8:144910787,0.10430917760677766,
cg01717150,chr8:140716495,,
cg01762581,chr8:42234614,0.0027699999045580626,0.01367458846174116
cg01780107,chr8:120867626,,
cg01892689,chr8:97657072,0.04620471305011811,0.011618571577682382
cg01952458,chr8:20054547,0.016400479303341205,
cg01988129,chr8:67344936,,0.0318658230566903
cg02008544,chr8:22926600,1.4576011960809485,0.01959302163140165
cg02103294,chr8:59465971,0.012137028830719815,0.9165590055788544
cg02115041,chr8:53852101,,
cg02130905,chr8:27116213,,
cg02154186,chr8:26371353,,
cg02226697,chr8:126010266,0.02222667461359681,
cg02226871,chr8:145653662,0.052842742914422196,0.006786382890881059
cg02283643,chr8:70378740,,
cg02388150,chr8:41165699,0.0027699999045580626,
cg02422627,chr8:118533004,0.01502755210064091,1.0365454137466754
cg02471507,chr8:82644747,,
cg02503970,chr8:134584145,0.9273952619518685,0.033803016973887004
cg02511532,chr8:120845155,1.821774094372335,0.008755602116857445
cg02569333,chr8:67625280,,0.009546963315754544
cg02584520,chr8:74659043,0.0708356275942049,
cg02595263,chr8:80942618,0.12492024507210181,
cg02640558,chr8:22299141,0.007662542365586101,0.5577199253952712
cg02641676,chr8:42397764,0.013856237532921357,0.1395573065177238
cg02735071,chr8:117767874,2.3983820657132013,
cg02786378,chr8:17396844,0.0027699999045580626,
cg02794695,chr8:134072611,0.46966900306746845,0.0126364338600734
cg02868338,chr8:145133133,0.01609825168839227,
cg02919422,chr8:55370544,,
cg02938601,chr8:22961088,,0.01595645896542325
cg03144357,chr8:145741925,0.020505044632938816,0.0037646787967361988
cg03167883,chr8:49502967,,
cg03221776,chr8:145733971,0.059398353898763065,0.01013293403791944
cg03347966,chr8:145582459,,0.10374880375856176
cg03380773,chr8:41504331,,
cg03396229,chr8:139926571,,
cg03521600,chr8:121457500,0.12646176721061245,0.07331593660637736
cg03594044,chr8:33330726,0.01776483970167268,
cg03642518,chr8:28175003,,0.008320000022649765
cg03664800,chr8:23261312,0.0063631496067694205,0.008223910910529222
cg03670238,chr8:134202370,,
cg03716937,chr8:39695862,,
cg03732295,chr8:57906837,,0.004744431709034622
cg03773789,chr8:144348945,,0.020875518323098332
cg03813905,chr8:125551074,0.08363109789417122,0.013889460565514584
cg03835158,chr8:52773607,7.827472409999876,0.11443366628706901
cg03870862,chr8:144624225,0.008285163938961008,0.036729101964883375
cg03973663,chr8:56791576,0.057295211416639,
cg04004861,chr8:74659081,0.0809260002275308,
cg04057858,chr8:10383763,,
cg04149472,chr8:18066144,,
cg04187545,chr8:56987050,32.23593619773727,0.011095664958272295
cg04223844,chr8:42128868,0.02512483848344689,0.02520062330473874
cg04229238,chr8:53627628,0.0027699999045580626,0.47473192088621813
cg04230869,chr8:103251129,0.17012071801164286,
cg04311964,chr8:143833942,,
cg04418492,chr8:65711327,0.011606078401354013,0.0027699999045580626
cg04447123,chr8:22857672,0.0028325562974564115,0.012538835667839197
cg04458139,chr8:92082487,0.01744860750210436,0.292541945540665
cg04515567,chr8:145701568,,
cg04553559,chr8:37552657,0.01592021142551429,0.005549999885261059
cg04583874,chr8:144242268,,
cg04598121,chr8:57358505,0.019122028995379067,0.010982635813628057
cg04612566,chr8:144120706,,0.02398704129930896
cg04618607,chr8:126011005,0.0027699999045580626,0.3416883048794216
cg04678793,chr8:144099566,0.008995634320351893,0.006950696550346726
cg04681849,chr8:17434460,,
cg04689061,chr8:79427993,0.010541545635467206,0.023420134609615482
cg04703844,chr8:74207197,0.0027699999045580626,0.06564682440983811
cg04719491,chr8:122654045,,
cg04747619,chr8:6914838,,
cg04794268,chr8:145690383,0.06582349093405628,
cg04815626,chr8:9912509,0.005615714187343866,0.05500640876491338
cg04833152,chr8:30891510,,0.3017072990826972
cg04845579,chr8:70378673,,
cg04893119,chr8:75736301,,
cg04929736,chr8:27472395,0.1032044647145085,
cg04950789,chr8:86090224,0.023338863260331695,0.11244197110842885
cg05026033,chr8:27950972,,0.05242698190459735
cg05040429,chr8:119633844,0.017718876426872074,0.016688430286554055
cg05113558,chr8:145702343,,
cg05160935,chr8:118532754,0.034708534601696164,0.010479345498606563
cg05226008,chr8:13372132,,
cg05232067,chr8:26240888,0.015345777819554011,0.2700317163012882
cg05237543,chr8:98656054,0.028343894835669806,0.008320000022649765
cg05254747,chr8:22223937,,
cg05275231,chr8:104427896,,0.19789157172390945
cg05316065,chr8:130799007,,
cg05365525,chr8:120885882,,0.019197559654934422
cg05365729,chr8:23262073,0.008320000022649765,
cg05373457,chr8:99439948,,
cg05412531,chr8:125183758,0.005549999885261059,
cg05440218,chr8:126104540,0.006947666577373942,0.20294670807081566
cg05604720,chr8:90769698,0.35483511306921445,0.006349788657323995
cg05624932,chr8:75897310,,0.0027699999045580626
cg05636175,chr8:22960397,,0.07876839753813468
cg05698069,chr8:22436246,0.009133247495388862,0.006393540546147001
cg05751979,chr8:74883978,0.171120897520733,
cg05755779,chr8:120079625,,
cg05800321,chr8:143867799,,
cg05807444,chr8:145654635,0.013406510654181898,0.009942527918610722
cg05868799,chr8:71316869,,0.005549999885261059
cg05947740,chr8:22089778,,
cg06027949,chr8:82754900,0.006186813141659394,0.009295076392420115
cg06084735,chr8:110346664,,0.4418400306520717
cg06093279,chr8:17658292,,
cg06166767,chr8:41167848,,
cg06269753,chr8:72755871,0.0343961457297281,0.008320000022649765
cg06276653,chr8:139164635,,0.01940999925136566
